xid        iau_name           ra       dec    poserr  s0520         s_err0520    cts_0520 cts_err_0520  L_0520  bkg_cts_0520  exptime_0520  s210          s_err210      cts_210  cts_err_210  L_210   bkg_cts_210  exptime_210  s510          s_err510      cts_510  cts_err_510 L_510   bkg_cts_510  exptime_510 
    105  XMMU_J100013.2+020833 150.055328  2.142742     1.25           0.36           0.03      211             16   174.85           1.29          56.31           2.48           0.25       289            21   210.61          1.76         56.52           1.53           0.25        88           14    23.41          1.48         47.79
    106  XMMU_J100038.0+022455 150.158495  2.415492     1.32           0.37           0.03      217             17   183.72           1.15          56.76           1.38           0.20       162            17    90.85          1.47         57.25          -1.54           0.00         0            0    -1.00         -1.00          0.00
    107  XMMU_J100056.7+024848 150.236510  2.813416     1.17           1.15           0.06      478             24   654.84           1.01          39.63           2.30           0.29       188            17   119.89          1.47         39.77          -3.37           0.30        47           12     8.35          1.19         33.88
    108  XMMU_J100029.3+015446 150.122143  1.913014     1.25           0.53           0.03      308             19   310.59           1.34          55.75           1.38           0.20       160            17    90.52          1.74         56.67           0.92           0.20        56           12    13.89          1.37         50.63
    109  XMMU_J100149.6+023852 150.456724  2.647956     1.25           0.64           0.04      361             21   354.56           1.55          54.45           0.99           0.20       110            16    35.84          2.18         54.44          -2.44           0.00         0            0    -1.00         -1.00          0.00
    110  XMMU_J100021.9+022356 150.091531  2.399107     1.50           0.75           0.04      380             22   289.42           0.98          48.36           0.89           0.18        92            14    34.25          1.39         50.29          -1.35           0.00         0            0    -1.00         -1.00          0.00
    111  XMMU_J100120.2+023339 150.334426  2.561101     1.26           0.79           0.05      386             22   447.87           0.89          46.78           1.32           0.21       132            15    66.27          1.03         48.71          -2.35           0.19        31            9     7.32          0.84         42.37
    112  XMMU_J095907.0+021356 149.779255  2.232401     1.42           0.38           0.04      120             12    94.31           0.86          30.28           1.89           0.31       125            15    94.57          1.43         32.18          -1.67           0.17        31            5     8.80          1.06         27.70
    113  XMMU_J095935.6+020537 149.898354  2.093712     1.32           0.56           0.04      320             20   299.90           1.18          54.52           1.14           0.20       125            16    64.07          1.55         53.59          -1.05           0.00         0            0    -1.00         -1.00          0.00
    114  XMMU_J100114.7+015841 150.311626  1.978079     1.22           0.85           0.05      401             22   485.85           1.13          45.08           1.67           0.26       159            18    75.67          1.52         46.19          -1.64           0.00         0            0    -1.00         -1.00          0.00
