 IAU_ID               CID     XRA          XDec F(0.5-2_keV)  F(2-10_keV) F(0.5-10_keV)  RA            Dec    Capak_ID   Ilber_ID   ORA       ODec       i_mag    i_mag_err  KRA         KDec      K_mag    K_mag_err  Irac_RA   Irac_Dec  F(3.6micron) F(3.6micron)err ID_flag  Star_flag Offnu_flag z_spec     z_spec_class z_sepc_qual z_spec_or  z_phot  z_phot_class XMMID   
  CXOC100022.0+022357  72       150.09154   2.399072   4.37E-15      1.31E-14      1.72E-14      150.09154    2.399079   1975407    1230594    150.09154    2.399079   22.28    0.02        150.091551   2.399055   20.71     0.02        150.091587   2.399045   16.7             0.11             1         -99       -99          2.475    1            4               6         2.453    1            110    
  CXOC100055.2+022344  73       150.23002   2.395579   8.14E-15      3.87E-14      4.02E-14      150.23007    2.395515   1936248    1204837    150.23007    2.395515   16.91    0.0         150.230099   2.395492   16.49     0.01        150.230041   2.395505   692.52           1.57             1         -99       -99          0.045    2            4               1         0.206    3            140    
  CXOC100058.7+022556  74       150.24456   2.432339   1.11E-14      1.71E-14      3.65E-14      150.24461    2.432278   1929738    1201141    150.24461    2.432278   21.05    0.01        150.244609   2.432284   19.87     0.01        150.244601   2.432286   51.31            0.13             1         -99       -99          0.695    1            4               2         0.701    1            20     
  CXOC100059.4+022632  75       150.2477    2.442225   2.26E-15      1.25E-14      1.21E-14      150.24778    2.442154   1926389    1199858    150.24778    2.442154   24.25    0.05        150.247789   2.44216    21.7      0.03        150.247765   2.442167   10.37            0.1              1         -99       -99          3.029    2            4               6         2.992    3            318    
  CXOC100031.3+022820  76       150.13036   2.472174   2.23E-15      3.82E-15      7.77E-15      150.13033    2.47216    2352278    1464895    150.13033    2.47216    21.84    0.01        150.130354   2.47216    19.73     0.01        150.130333   2.47216    63.58            0.17             1         -99       -99          0.926    2            4               3         0.907    3            101    
  CXOC100036.0+022831  77       150.15018   2.475207   2.84E-15      4.31E-14      2.87E-14      150.15022    2.475196   2351717    1464475    150.15022    2.475196   20.82    0.01        150.15025    2.475159   18.81     0.01        150.150208   2.475171   292.26           0.41             1         -99       -99          0.688    2            4               5         0.694    3            70     
  CXOC100038.0+022455  78       150.15822   2.415393   3.74E-15      1.51E-14      1.69E-14      150.15835    2.415434   1971617    1228235    150.15835    2.415434   23.39    0.03        150.158368   2.415395   20.52     0.01        150.158355   2.415409   42.94            0.13             1         -99       -99          0.9      2            4               7         0.712    3            106    
  CXOC100041.8+022411  79       150.17396   2.402939   1.22E-14      2.94E-14      4.72E-14      150.17396    2.402994   1973781    1229698    150.17396    2.402994   22.74    0.02        150.17399    2.402969   21.04     0.02        150.173969   2.402964   23.75            0.12             1         -99       -99          0.979    2            4               3         0.771    1            65     
  CXOC100043.6+022525  80       150.18146   2.423563   2.64E-16      4.35E-15      2.86E-15      150.18141    2.423418   1968973    1226722    150.18141    2.423418   21.78    0.01        150.181428   2.423412   19.79     0.01        150.181398   2.423425   47.67            0.15             1         -99       -99          0.727    2            4               3         0.716    3            60109  
  CXOC100044.8+022719  81       150.18659   2.455237   1.65E-15      6.05E-15      6.92E-15      150.18655    2.455331   1961944    1222312    150.18655    2.455331   25.65    0.13        150.186576   2.455315   22.4      0.06        150.186558   2.455349   12.94            0.11             1         -99       -99          -99.0    -99          -99             -99       1.87     3            209    
  CXOC100050.0+022453  82       150.20844   2.414714   6.9E-16       2.01E-15      2.68E-15      150.20871    2.414253   1971440    -99        150.20871    2.414253   -99.0    -99.0       150.208849   2.414294   22.9      0.1         150.208664   2.414468   6.28             0.1              1         -99       -99          -99.0    -99          -99             -99       1.844    1            -99    
  CXOC100051.4+022830  83       150.21418   2.475118   1.93E-15      7.67E-15      8.9E-15       150.21416    2.475017   2351961    1464601    150.21416    2.475017   23.28    0.03        150.214185   2.475015   21.75     0.04        150.214154   2.475033   12.0             0.11             1         -99       -99          -99.0    -99          -99             -99       3.075    1            215    
  CXOC100020.2+021726  84       150.08428   2.290499   1.78E-15      4.51E-15      7.31E-15      150.08438    2.290489   1599929    994021     150.08438    2.290489   22.73    0.02        150.084384   2.290474   20.84     0.02        150.084374   2.290383   31.78            0.13             1         -99       -99          2.101    1            4               6         1.45     3            353    
  CXOC100023.1+021735  85       150.0964    2.293039   1.18E-15      8.89E-15      7.25E-15      150.09652    2.293087   1961176    1221773    150.09652    2.293087   24.9     0.07        150.096495   2.293006   21.76     0.04        150.096485   2.293017   13.61            0.11             1         -99       -99          -99.0    -99          -99             -99       1.569    3            338    
  CXOC100028.7+021745  86       150.11945   2.295858   5.39E-15      1.37E-14      2.04E-14      150.11959    2.295908   1961169    1221784    150.11959    2.295908   23.4     0.03        150.11959    2.295869   20.6      0.01        150.119565   2.295867   33.02            0.14             1         -99       -99          -99.0    -99          -99             -99       1.8      3            78     
  CXOC100031.9+021812  87       150.13303   2.303275   2.23E-14      6.66E-14      8.87E-14      150.13304    2.303283   1997845    1244269    150.13304    2.303283   23.34    0.03        150.133052   2.303263   20.56     0.01        150.133065   2.303234   50.63            0.14             1         -99       -99          1.598    1            4               6         1.462    3            18     
  CXOC100033.1+021730  88       150.13796   2.2917     1.81E-14      3.67E-14      6.19E-14      150.138      2.291672   1639359    1018836    150.138      2.291672   19.12    0.01        150.137999   2.291658   17.95     0.01        150.137994   2.291687   184.67           0.27             1         -99       -99          0.185    2            4               5         0.178    2            157    
  CXOC100107.5+022457  89       150.28126   2.415948   1.36E-15      9.63E-15      8.2E-15       150.28117    2.415899   1928188    1200329    150.28117    2.415899   25.1     0.09        150.281256   2.415829   22.56     0.08        150.28127    2.415819   7.07             0.09             1         -99       -99          -99.0    -99          -99             -99       2.322    3            362    
  CXOC100108.4+022342  90       150.2848    2.395128   5.79E-15      1.6E-14       2.24E-14      150.28482    2.395048   1937835    1206080    150.28482    2.395048   21.72    0.01        150.284836   2.395026   20.73     0.02        150.284819   2.39502    35.57            0.16             1         -99       -99          1.932    1            4               3         1.958    1            153    
  CXOC100109.0+022417  91       150.28762   2.404634   1.24E-15      6.44E-15      6.09E-15      150.28772    2.40441    1935673    1204697    150.28772    2.40441    21.55    0.01        150.287738   2.404401   20.05     0.01        150.287717   2.404376   30.9             0.14             1         -99       -99          0.657    2            4               5         0.674    3            -99    
  CXOC100109.3+022255  92       150.28878   2.382038   1.17E-15      2.16E-15      4.22E-15      150.28853    2.381876   1940419    1207643    150.28853    2.381876   23.24    0.03        150.288537   2.381912   20.66     0.01        150.288381   2.38173    80.46            0.18             1         -99       -99          1.582    -99          4               7         1.595    3            60053  
  CXOC100113.9+022548  93       150.30805   2.430125   9.89E-15      2.47E-14      3.73E-14      150.30805    2.430068   1929997    1201356    150.30805    2.430068   20.52    0.01        150.308079   2.430053   19.16     0.01        150.308049   2.430039   52.39            0.16             1         -99       -99          0.374    1            4               5         0.374    2            27     
  CXOC100114.3+022357  94       150.30951   2.399253   1.32E-14      2.5E-14       4.49E-14      150.30956    2.399147   1936889    1205351    150.30956    2.399147   19.33    0.01        150.309589   2.39913    19.38     0.01        150.309586   2.39908    137.92           0.26             1         -99       -99          1.795    1            4               1         1.777    1            33     
  CXOC100114.7+022450  95       150.31115   2.413919   3.04E-15      8.57E-15      1.19E-14      150.31117    2.413725   1933595    1202613    150.31117    2.413725   22.98    0.02        150.311227   2.413774   21.56     0.03        150.311195   2.413767   28.49            0.13             1         -99       -99          -99.0    -99          -99             -99       1.835    3            154    
  CXOC100115.4+022254  96       150.31426   2.381637   4.35E-15      1.05E-14      1.62E-14      150.31424    2.381622   1940491    1207701    150.31424    2.381622   22.5     0.02        150.314288   2.381611   20.66     0.02        150.314263   2.381581   21.76            0.12             1         -99       -99          0.739    2            4               4         0.713    3            150    
  CXOC100117.0+021959  97       150.32073   2.333036   3.51E-15      1.17E-14      1.47E-14      150.32085    2.33296    1951838    1215214    150.32085    2.33296    25.49    0.11        150.320885   2.332958   21.34     0.03        150.320869   2.332935   13.02            0.11             1         -99       -99          -99.0    -99          -99             -99       2.03     2            182    
